Case Number,Date,Year,Country,Area,Location,Injury,Fatal (Y/N),Month,Hemisphere,Season,year_by_50
1981.11.09,09-Nov-1981,1981,USA,Hawaii,"La'au Point, Moloka'i",Hand bitten,N,11,North,Autumn,2000
1981.08.07,07-Aug-1981,1981,THE BAHAMAS,Grand Bahama Island,"Gingerbread Reef, east of Little Isaac Island ",Upper right arm bitten,N,8,North,Summer,2000
1981.11.30,30-Nov-1981,1981,REUNION,Saint-Philippe,Vicendo,Survived,N,11,South,Spring,2000
1981.12.13.a,13-Dec-1981,1981,USA,Hawaii,"Nimitz Beach, Barbers Point, O'ahu",Right leg severely bitten,N,12,North,Winter,2000
1981.12.13.b,13-Dec-1981,1981,AUSTRALIA,Queensland,Green Island,Abdomen lacerated,N,12,South,Summer,2000
1981.12.19,19-Dec-1981,1981,USA,California,"South Moss Beach, Spanish Bay, Monterey Peninsula","FATAL, torso bitten ",Y,12,North,Winter,2000
1981.09.28,28-Sep-1981,1981,USA,Florida,"Cocoa Beach, Brevard County",5 puncture marks to hip,N,9,North,Autumn,2000
1981.10.19.b,19-Oct-1981,1981,SOUTH AFRICA,Western Cape Province,Mossel Bay,Hand lacerated  PROVOKED INCIDENT,N,10,South,Spring,2000
1981.07.20,20-Jul-1981,1981,USA,Florida,"St. Petersburg Beach, Pinellas County","Foot bitten between arch & big toe, no stitches required",N,7,North,Summer,2000
1981.07.07,07-Jul-1981,1981,USA,Florida,Carter Cay,Left foot & ankle lacerated,N,7,North,Summer,2000
1981.01.01,01-Jan-1981,1981,SOUTH AFRICA,KwaZulu-Natal,Widenham,Probable drowning & scavenging by 1.5 m tiger shark,,1,South,Summer,2000
1981.01.30,30-Jan-1981,1981,USA,Florida,20 miles from Mayport,3 small punctures in scalp & ripped nostril,N,1,North,Winter,2000
1981.02.02,02-Feb-1981,1981,USA,Florida,"Juno Beach, Palm Beach County",Lacerations & punctures in left calf & ankle,N,2,North,Winter,2000
1981.07.18,18-Jul-1981,1981,SOUTH AFRICA,Eastern Cape Province,Nahoon,7 lacerations to right foot,N,7,South,Winter,2000
1981.02.16,16-Feb-1981,1981,AUSTRALIA,Western Australia,"Leighton Beach, north of Freemantle",Puncture wounds to foot,N,2,South,Summer,2000
1981.02.19,19-Feb-1981,1981,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Foot lacerated,N,2,South,Summer,2000
1981.03.04,04-Mar-1981,1981,CHILE,Coquimbo,"Bahia Totoralillo, 80  km north of Coquimbo",Foot & ankle bitten,N,3,South,Autumn,2000
1981.03.24,24-Mar-1981,1981,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Puncture wounds on  right thigh,N,3,North,Spring,2000
1981.03.25,25-Mar-1981,1981,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County","Lacerations on calf, ankle & heel",N,3,North,Spring,2000
1981.05.05,05-May-1981,1981,SOUTH AFRICA,Eastern Cape Province,Ntlonyane Bay,"Left leg bitten, surgically amputated",N,5,South,Autumn,2000
1981.02.07,07-Feb-1981,1981,AUSTRALIA,Western Australia,"Parker's Point, Rottnest Island",No details,UNKNOWN,2,South,Summer,2000
1981.05.07,07-May-1981,1981,NAMIBIA,Eronogo Region,Walvis Bay,Lacerations PROVOKED INCIDENT,N,5,South,Autumn,2000
1981.03.08,08-Mar-1981,1981,BERMUDA,Not applicable,Not applicable,Next day 2 bodies recovered from sharks,N,3,North,Spring,2000
1981.07.01,01-Jul-1981,1981,SOUTH AFRICA,KwaZulu-Natal,Clansthal,Laceration to calf,N,7,South,Winter,2000
1981.06.12,12-Jun-1981,1981,USA,Hawaii,"Honoli'i Pali, Hilo Bay ('Alae Point), Hawai'i","Probable drowning, 1.2 m [4'] shark hindered recovery of body",,6,North,Summer,2000
1981.05.24,24-May-1981,1981,USA,Hawaii,"Ha'ena Beach Park, Kaua'i","FATAL, disappeared, dive gear & shredded tooth-marked wetsuit were recovered",Y,5,North,Spring,2000
1981.06.15.R,Reported 15-Jun-1981,1981,UK,Not applicable,Isle of Wight,Minor injuries from shark that leapt aboard their boat,N,6,North,Summer,2000
1981.05.20,20-May-1981,1981,SOUTH AFRICA,Eastern Cape Province,Nahoon,"Shark & board collided. No injury, but board was dented",N,5,South,Autumn,2000
1981.05.19,19-May-1981,1981,USA,Florida,"Sands Cut, Elliot Key",Massive tissue damage of left arm,N,5,North,Spring,2000
1981.05.16,16-May-1981,1981,USA,Florida,"Jacksonville, Duval County",Left arm bitten,N,5,North,Spring,2000
1981.05.10,10-May-1981,1981,SOUTH AFRICA,Eastern Cape Province,Kings Beach,"No Injury, board bitten",N,5,South,Autumn,2000
1981.05.23,23-May-1981,1981,SOUTH KOREA,Chungnam,Wae-yeon Island,FATAL,Y,5,South,Autumn,2000
1982.08.29.b,29-Aug-1982,1982,USA,California,"Morro Rock, Morro Bay, San Obispo County","No Injury, board bitten",,8,North,Summer,2000
1982.07.24.a,24-Jul-1982,1982,USA,California,"Point Buchon, San Luis Obispo County","No Injury, board bitten",N,7,North,Summer,2000
1982.07.24.b,24-Jul-1982,1982,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London","No injury, ski bitten",N,7,South,Winter,2000
1982.07.31,31-Jul-1982,1982,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,"No injury, swim fin bitten",,7,South,Winter,2000
1982.08.29.a,29-Aug-1982,1982,SOUTH AFRICA,Western Cape Province,Langebaan,"Left knee, lower leg & foot bitten",N,8,South,Winter,2000
1982.08.29.c,29-Aug-1982,1982,JAPAN,Kumamoto Prefecture,Ariake Bay,FATAL,Y,8,North,Summer,2000
1982.09.30.a,30-Sep-1982,1982,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London","No Injury, surfboard bitten",N,9,South,Spring,2000
1982.09.19,19-Sep-1982,1982,USA,California,"Bear Harbor, Mendocino County",Upper left thigh & buttocks bitten,N,9,North,Autumn,2000
1982.09.25,25-Sep-1982,1982,USA,California,"Monastery Beach, Carmel Bay, Monterey County",Lacerations to hand,N,9,North,Autumn,2000
1982.07.19,19-Jul-1982,1982,USA,Florida,"Stuart Beach, Martin County ",Left ankle bitten,N,7,North,Summer,2000
1982.09.27,27-Sep-1982,1982,USA,Florida,"Patrick Air Force Base, Brevard County",Laceration to lower left leg,N,9,North,Autumn,2000
1982.09.30.b,30-Sep-1982,1982,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London","No injury, pressure ding on surfboard",N,9,South,Spring,2000
1982.10.13,13-Oct-1982,1982,USA,Florida,North Dade- Interama area of Biscayne Bay,Left foot lacerated,N,10,North,Autumn,2000
1982.09.04,04-Sep-1982,1982,USA,Florida,"Hollywood Beach, Broward County","Remains recovered from 2.7 m tiger shark, but shark involvement prior to death unknown",,9,North,Autumn,2000
1982.07.11, 11-Jul-1982,1982,USA,California,"Malibu, Los Angeles County",Laceration to left thigh,,7,North,Summer,2000
1982.02.14.a,14-Feb-1982,1982,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",Right foot bitten,N,2,North,Winter,2000
1982.06.29,29-Jun-1982,1982,SOUTH AFRICA,Eastern Cape Province,Ntlonyana Bay,FATAL,Y,6,South,Winter,2000
1982.07.01,01-Jul-1982,1982,USA,Florida,"Daytona Beach, Volusia County",Laceration to left leg,N,7,North,Summer,2000
1982.01.29,29-Jan-1982,1982,SOUTH AFRICA,Eastern Cape Province,Mpekeweni,Right shin & toe lacerated,N,1,South,Summer,2000
1982.02.07..b,07-Feb-1982,1982,USA,Florida,Elliot Key,"FATAL Disappeared while diving, bathing suit & diving gear recovered bore marks of shark's teeth",Y,2,North,Winter,2000
1982.02.13,13-Feb-1982,1982,USA,Florida,"Palm Beach, Palm Beach County",Shark-bitten body found floating 1.5 miles offshore. Bruises suggested she may have been bitten by the shark before drowning,Y,2,North,Winter,2000
1982.02.14.b,14-Feb-1982,1982,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",Left leg bitten,N,2,North,Winter,2000
1982.02.17,17-Feb-1982,1982,SOUTH AFRICA,Western Cape Province,Mossel Bay,Leg bitten above ankle by hooked shark taken aboard skiboat PROVOKED INCIDENT,N,2,South,Summer,2000
1982.02.27,27-Feb-1982,1982,USA,Florida,"Hobe Sound, Palm Beach County",Lacerations to left hand and forearm,N,2,North,Winter,2000
1982.02.07.a,07-Feb-1982,1982,USA,California,"Stillwater Cove, Sonoma County",Calf & ankle bitten,N,2,North,Winter,2000
1982.03.07,07-Mar-1982,1982,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Legs bitten  FATAL,Y,3,South,Autumn,2000
1982.03.10,10-Mar-1982,1982,USA,Florida,"Palm Beach, Palm Beach County",Elbow bitten,N,3,North,Spring,2000
1982.06.13,13-Jun-1982,1982,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",Thigh bitten 3 times,N,6,North,Summer,2000
1982.06.25,  25-Jun-1982,1982,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",Foot bitten,N,6,North,Summer,2000
1982.06.26.a,26-Jun-1982,1982,THE BAHAMAS,Andros Islands,North Rat Cay Reef,Arm severed at elbow,N,6,North,Summer,2000
1982.06.26.b,26-Jun-1982,1982,USA,South Carolina,"Isle of Palms, Charleston County",Left arm bitten,N,6,North,Summer,2000
1982.02.28,28-Feb-1982,1982,AUSTRALIA,Tasmania,South Cape Bay,"FATAL, body not recovered",Y,2,South,Summer,2000
1983.09.04,04-Sep-1983,1983,USA,Florida,"Off Lake Worth, Palm Beach County",Abrasions to leg,N,9,North,Autumn,2000
1983.07.26,26-Jul-1983,1983,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville","FATAL, shark seized her by the chest and took her underwater ",Y,7,South,Winter,2000
1983.08.06,06-Aug-1983,1983,USA,Rhode Island,Not applicable,No injury to occupants,N,8,North,Summer,2000
1983.08.13.a,13-Aug-1983,1983,USA,Florida,"6 miles south of Boca Chica Key, Monroe County ",Right leg severely bitten,N,8,North,Summer,2000
1983.08.13.b,13-Aug-1983,1983,USA,Florida,"Riviera Beach, Palm Beach County",Hand abraded when he grabbed shark's tail PROVOKED INCIDENT,N,8,North,Summer,2000
1983.08.15,15-Aug-1983,1983,USA,Virginia,"Virginia Beach, Princess Anne County",Foot bitten,N,8,North,Summer,2000
1983.08.20.a,20-Aug-1983,1983,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Inner thighs lacerated,N,8,South,Winter,2000
1983.08.20.b,20-Aug-1983,1983,USA,Oregon,"Cape Kiwanda,Tillamook County","No injury, board bitten",N,8,North,Summer,2000
1983.10.13,13-Oct-1983,1983,USA,Florida,"Daytona Beach, Volusia County",Lacerations to left ankle,N,10,North,Autumn,2000
1983.12.24,24-Dec-1983,1983,AUSTRALIA,South Australia,"Dangerous Reef, South Neptune Island",Fingers bitten,N,12,South,Summer,2000
1983.11.10,10-Nov-1983,1983,SOUTH AFRICA,KwaZulu-Natal,Tongaat,Probable drowning and scavenging,,11,South,Spring,2000
1983.11.10.R,Reported      10-Nov-1983,1983,USA,Florida,"Melbourne Beach, Brevard County",Laceration to left foot,N,11,North,Autumn,2000
1983.11.21,21-Nov-1983,1983,PHILIPPINES,Central Philippines,Not applicable,Left foot nipped,N,11,North,Autumn,2000
1983.12.07,07-Dec-1983,1983,SOUTH AFRICA,KwaZulu-Natal,LaMercy,"Two feet found in 1.74 m, 115-kg Zambesi shark, confirmed as a postmortem scavenging",,12,South,Summer,2000
1983.12.21,21-Dec-1983,1983,SOUTH AFRICA,Eastern Cape Province,Nahoon,Shin lacerated,N,12,South,Summer,2000
1983.12.22,22-Dec-1983,1983,SOUTH AFRICA,Eastern Cape Province,Great Fish River,"Left calf, ankle & foot lacerated",N,12,South,Summer,2000
1983.07.25.b,25-Jul-1983,1983,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville","FATAL, shark bit leg, then dragged him underwater ",Y,7,South,Winter,2000
1983.12.25,25-Dec-1983,1983,USA,Florida,"Riviera Beach, Palm Beach County",Left foot & thigh bitten,N,12,North,Winter,2000
1983.12.30,30-Dec-1983,1983,GREECE,Andikira Fokithes,Not applicable,"Coroner determined the man was killed by a boat propeller, not a tiger shark",,12,North,Winter,2000
1983.10.17.a,17-Oct-1983,1983,USA,Florida,"Stuart Beach, Martin County",Puncture marks in leg & surfboard dinged,N,10,North,Autumn,2000
1983.07.25.a,25-Jul-1983,1983,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville","Left knee bitten, but survived",N,7,South,Winter,2000
1983.07.15,15-Jul-1983,1983,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis",Left arm injured by shark's tail as it swam beneath his board,N,7,South,Winter,2000
1983.01.24,24-Jan-1983,1983,USA,South Carolina,60 miles southeast of Beaufort,Leg bitten by captive shark PROVOKED INCIDENT,N,1,North,Winter,2000
1983.01.08,08-Jan-1983,1983,SOUTH AFRICA,Western Cape Province,Holbaai,"No injury, rammed by shark",N,1,South,Summer,2000
1983.01.10,10-Jan-1983,1983,SOUTH AFRICA,Western Cape Province,Muizenberg,Left foot lacerated,N,1,South,Summer,2000
1983.01.15,15-Jan-1983,1983,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,FATAL,,1,South,Summer,2000
1983.07.12.b,12-Jul-1983,1983,USA,Florida,"Caloosahatchee River, Lee County",Left ankle nipped (3 punctures wounds),N,7,North,Summer,2000
1983.02.20,20-Feb-1983,1983,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Puncture wounds to buttocks,N,2,South,Summer,2000
1983.03.10,10-Mar-1983,1983,USA,Florida,"Juno Beach, Palm Beach County","Shark nudged board, no injury",N,3,North,Spring,2000
1983.03.22,22-Mar-1983,1983,SOUTH AFRICA,Eastern Cape Province,Nahoon,"No injury, board bitten",N,3,South,Autumn,2000
1983.03.30.a,30-Mar-1983,1983,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Right calf lacerated,N,3,South,Autumn,2000
1983.04.02.b,02-Apr-1983,1983,USA,Florida,"Lake Worth Beach, Palm Beach County",Left foot bitten,N,4,North,Spring,2000
1983.04.12,12-Apr-1983,1983,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Puncture wounds to foot,N,4,South,Autumn,2000
1983.04.02.a,02-Apr-1983,1983,SOUTH AFRICA,KwaZulu-Natal,Mpande,Survived,,4,South,Autumn,2000
1983.06.29,29-Jun-1983,1983,USA,Florida,"Off 12th Street, Miami Beach",Left foot bitten,N,6,North,Summer,2000
1983.05.21,21-May-1983,1983,USA,Florida,"Haulover Inlet, Dade County",Right foot bitten,N,5,North,Spring,2000
1983.05.31,31-May-1983,1983,USA,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County","Left calf, knee & hands lacerated",N,5,North,Spring,2000
1983.06.15,15-Jun-1983,1983,ITALY,Northwest Italy,Riomaggiore (Ligura),"No injury, 3 m shark ""harassed"" him at depth of 5 m",,6,North,Summer,2000
1983.06.15,15-Jun-1983,1983,THE BAHAMAS,Not applicable,Carter Cay,Lacerations to hand & foot,N,6,North,Summer,2000
1983.06.20,20-Jun-1983,1983,USA,Florida,"Cocoa Beach, Brevard County",Left foot lacerated,N,6,North,Summer,2000
1983.06.22,22-Jun-1983,1983,THE BAHAMAS,Abaco Islands,"Off Sandy Point, Great Abaco Island",FATAL,Y,6,North,Summer,2000
1983.04.19,19-Apr-1983,1983,USA,Florida,Not applicable,No details,UNKNOWN,4,North,Spring,2000
1983.07.05,05-Jul-1983,1983,USA,Florida,"Riviera Beach, Palm Beach County","No injury, shark bit air mattress, deflating it",N,7,North,Summer,2000
1983.07.12.a,08-Jul-1983,1983,THE BAHAMAS,Abaco Islands,Green Turtle Cay,Lacerations to left calf,N,7,North,Summer,2000
1984.09.22.b,22-Sep-1984,1984,USA,Florida,Not applicable,Left foot lacerated,N,9,North,Autumn,2000
1984.09.22.a,22-Sep-1984,1984,USA,Florida,"Indiatlantic, Brevard County",Foot bitten,N,9,North,Autumn,2000
1984.09.15,15-Sep-1984,1984,USA,California,"Pigeon Point, San Mateo County",FATAL,Y,9,North,Autumn,2000
1984.09.17,17-Sep-1984,1984,USA,California,"Mission Beach, San Diego County",Arm bitten,N,9,North,Autumn,2000
1984.09.23,23-Sep-1984,1984,USA,Florida,Volusia County,Right foot bitten,N,9,North,Autumn,2000
1984.09.19,19-Sep-1984,1984,USA,Florida,Volusia County,No details,UNKNOWN,9,North,Autumn,2000
1984.09.30.a,30-Sep-1984,1984,USA,California,"Tomales Point, Marin County",Legs & buttocks bitten,N,9,North,Autumn,2000
1984.09.11,11-Sep-1984,1984,USA,Baja California,Guadalupe Island,"No Injury, PROVOKED INCIDENT",N,9,North,Autumn,2000
1984.10.14.a,14-Oct-1984,1984,USA,Florida,"Bob Graham Beach, Martin County",Left calf bitten,N,10,North,Autumn,2000
1984.10.17,17-Oct-1984,1984,USA,Florida,"Boynton Beach, Palm Beach County","10"" laceration on leg",,10,North,Autumn,2000
1984.10.21,21-Oct-1984,1984,USA,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County","9"" laceration to right forearm ",N,10,North,Autumn,2000
1984.10.21.b,21-Oct-1984,1984,USA,Florida,"Wabasso Beach, Indian River County","Disappeared, 1 mile from where Sandra Fletcher was bitten. Death was due to drowning",,10,North,Autumn,2000
1984.11.04,04-Nov-1984,1984,USA,Florida,"Fowey Rock, Key Biscayne","Speared shark bit diver's right knee, and lacerated right thigh & buttocks PROVOKED INCIDENT",N,11,North,Autumn,2000
1984.11.11,11-Nov-1984,1984,USA,Florida,"Jupiter Island Beach, Martin County",Left foot bitten,N,11,North,Autumn,2000
1984.11.30,30-Nov-1984,1984,AUSTRALIA,Queensland,1 km off Black's Beach,FATAL,Y,11,South,Spring,2000
1984.12.03,03-Dec-1984,1984,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba",No injury,N,12,North,Winter,2000
1984.09.30.b,30-Sep-1984,1984,USA,Oregon,"""Turnaround"", Cape Kiwanda, Tillamook County","Abrasion on right foot, board bitten",N,9,North,Autumn,2000
1984.08.24,24-Aug-1984,1984,USA,Florida,"Off Crystal River, Citrus County",Death was due to drowning; body scavenged by a tiger shark,,8,North,Summer,2000
1984.06.15,15-Jun-1984,1984,SOUTH AFRICA,Western Cape Province,"Muizenberg, False Bay","No injury, board bitten",N,6,South,Winter,2000
1984.07.24.b,24-Jul-1984,1984,USA,Texas,South Padre Island,Lacerations on right foot,N,7,North,Summer,2000
1984.11.08,08-Nov-1984,1984,SOUTH AFRICA,Eastern Cape Province,Gonubie River Mouth,Wetsuit lacerated,N,11,South,Spring,2000
1984.01.05,05-Jan-1984,1984,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Foot bitten,N,1,South,Summer,2000
1984.02.11,11-Feb-1984,1984,AUSTRALIA,Queensland,Derwent Island,Hand bitten,N,2,South,Summer,2000
1984.02.12,12-Feb-1984,1984,SOUTH AFRICA,Eastern Cape Province,St. Georges Strand,"Human remains recovered, evidence of scavenging by shark/s",,2,South,Summer,2000
1984.02.17,17-Feb-1984,1984,SOUTH AFRICA,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",Punctures in wetsuit & left arm bruised by captive shark PROVOKED INCIDENT,N,2,South,Summer,2000
1984.02.18,18-Feb-1984,1984,SOUTH AFRICA,Eastern Cape Province,"Paradise Beach, Jeffreys Bay",Leg lacerated by hooked shark PROVOKED INCIDENT,N,2,South,Summer,2000
1984.03.01,01-Mar-1984,1984,AUSTRALIA,Western Australia,Coral Bay,No details,UNKNOWN,3,South,Autumn,2000
1984.03.10,10-Mar-1984,1984,SOUTH AFRICA,Eastern Cape Province,Swartkops River mouth,"No injury to occupant, shark seized oar and disappeared with it.",N,3,South,Autumn,2000
1984.01.04,04-Jan-1984,1984,SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal,Remains recovered 1-4-1984 showed evidence of defense wounds,Y,1,South,Summer,2000
1984.03.17,17-Mar-1984,1984,SOMALIA,Not applicable,Not applicable, Forced at gunpoint to jump overboard. Presumed fatal; shark involvement probable but not confirmed ,,3,North,Spring,2000
1984.03.14,14-Mar-1984,1984,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,"No injury, 8 pressure dings in surboard",N,3,South,Autumn,2000
1984.07.24.a,24-Jul-1984,1984,USA,Texas,South Padre Island,Legs severely lacerated,N,7,North,Summer,2000
1984.07.22,22-Jul-1984,1984,SOUTH AFRICA,Western Cape Province,Cape Point,"FATAL, but shark involvement prior to death could not be determined",,7,South,Winter,2000
1984.08.07,07-Aug-1984,1984,INDONESIA,Not applicable,Bali,FATAL,Y,8,South,Winter,2000
1984.06.03.b,03-Jun-1984,1984,USA,Hawaii,"Kane'ohe Bay, O'ahu",Foot bitten,N,6,North,Summer,2000
1984.06.03,03-Jun-1984,1984,VANUATU,Malampa Province,"Atchin Island, off Malakula",FATAL,Y,6,South,Winter,2000
1984.05.31,31-May-1984,1984,SOUTH AFRICA,Western Cape Province,Arniston,Swim fin bitten,N,5,South,Autumn,2000
1984.07.01,01-Jul-1984,1984,USA,Florida,Not applicable,Leg abraded,N,7,North,Summer,2000
1985.09.05,05-Sep-1985,1985,USA,Florida,"Fort Pierce Inlet, St Lucie County",Found to be a hoax,,9,North,Autumn,2000
1985.09.08.a,08-Sep-1985,1985,USA,Florida,"Palm Beach, Palm Beach County",Laceration and 4 puncture wounds to left hand,N,9,North,Autumn,2000
1985.09.08.b,08-Sep-1985,1985,SOUTH AFRICA,KwaZulu-Natal,T.O. Strand,Probable drowning / scavenging,,9,South,Spring,2000
1985.09.28,28-Sep-1985,1985,USA,California,"Elephant Rock near Tomales Point, Marin County","Hip bumped by shark, no Injury",N,9,North,Autumn,2000
1985.10.05,  05-Oct-1985,1985,USA,Alabama,"Gulf Shores, Baldwin County",Laceration to leg by hooked shark  PROVOKED INCIDENT,N,10,North,Autumn,2000
1985.10.12,12-Oct-1985,1985,USA,Hawaii,"Barbers Point, O'ahu",Left arm lacerated,N,10,North,Autumn,2000
1985.10.22,22-Oct-1985,1985,USA,California,"Point Conception, Santa Barbara County",Minor injury to foot & ankle,N,10,North,Autumn,2000
1985.10.24,24-Oct-1985,1985,SOUTH AFRICA,Eastern Cape Province,East London,"Left leg severely lacerated, superficial lacerations of right leg,  board damaged",N,10,South,Spring,2000
1985.11.03,03-Nov-1985,1985,USA,California,5 miles south of Redondo Beach,Forearm bitten by hooked shark PROVOKED INCIDENT,N,11,North,Autumn,2000
1985.11.11,11-Nov-1985,1985,AUSTRALIA,Queensland,Gladstone,Laceration to lower left leg by hooked shark PROVOKED INCIDENT,N,11,South,Spring,2000
1985.12.10,10-Dec-1985,1985,USA,North Carolina,New Hanover County,Survived,N,12,North,Winter,2000
1985.12.22,22-Dec-1985,1985,SOUTH AFRICA,KwaZulu-Natal,Garvies Beach,"Both surfers boards were bumped by sharks, Moolman sustained abrasions on his arm and leg",N,12,South,Summer,2000
1985.08.22,22-Aug-1985,1985,USA,South Carolina,"Palmetto Dunes, Hilton Head, Beaufort County",Right calf bitten & less serious injury to left foot,N,8,North,Summer,2000
1985.10.18,18-Oct-1985,1985,USA,Hawaii,"Little Glass Shacks, Princeville, Kaua'i","Right hand and part of forearm severed , left hand lacerated, right anterior side of board removed by shark",N,10,North,Autumn,2000
1985.11.05,05-Nov-1985,1985,USA,California,"Southeast Farallon Island, Farallon Islands",2 semi-circular bites on aft starboard tube of boat,N,11,North,Autumn,2000
1985.08.17,17-Aug-1985,1985,USA,Florida,"Bayport, Hernando County",Body not recovered. 3 days later some of his equipment was found on seabed appeared damaged by a shark ,,8,North,Summer,2000
1985.07.25.b,25-Jul-1985,1985,USA,Florida,"Daytona Beach, Volusia County",Right calf bitten,N,7,North,Summer,2000
1985.08.20,20-Aug-1985,1985,USA,Florida,"New Smyrna Beach, Volusia County","3"" wound on thigh",,8,North,Summer,2000
1985.01.04,04-Jan-1985,1985,SOUTH AFRICA,Western Cape Province,"Buffels Bay, False Bay",Minor injury to torso,N,1,South,Summer,2000
1985.01.16,16-Jan-1985,1985,NEW ZEALAND,South Island,Christchurch,"No injury to occupant, shark bit boat",N,1,South,Summer,2000
1985.01.17,17-Jan-1985,1985,SOUTH AFRICA,KwaZulu-Natal,Umbogintwini,Thigh & calf bitten,N,1,South,Summer,2000
1985.01.27,27-Jan-1985,1985,SOUTH AFRICA,Western Cape Province,Struisbaai,"Right knee, calf and ankle lacerated",N,1,South,Summer,2000
1985.02.03,03-Feb-1985,1985,USA,Florida,"15 miles north of Sebastian Inlet, Brevard County",Right foot bitten,N,2,North,Winter,2000
1985.02.18,18-Feb-1985,1985,USA,California,"San Miguel Island, Santa Barbara County",Bruised,N,2,North,Winter,2000
1985.01.18,18-Jan-1985,1985,SOUTH AFRICA,KwaZulu-Natal,Umzimkulu,Probable drowning / scavenging,,1,South,Summer,2000
1985.03.16,16-Mar-1985,1985,USA,Florida,"Palm Beach, Palm Beach County",Hand bitten,N,3,North,Spring,2000
1985.05.08,08-May-1985,1985,SOUTH AFRICA,KwaZulu-Natal,Umdhloti,"After diver shot shark attempting to take his catch, shark bit right arm & tore wetsuit  PROVOKED INCIDENT",N,5,South,Autumn,2000
1985.05.26,26-May-1985,1985,USA,California,"Long Beach, Los Angeles County",Leg injured,N,5,North,Spring,2000
1985.07.19,19-Jul-1985,1985,USA,South Carolina,"Folly Beach, Charleston County",2/3rd of left calf removed,N,7,North,Summer,2000
1985.07.21,21-Jul-1985,1985,USA,California,"Off Shelter Cover (between Fort Bragg & Eureka), Humboldt County","No injury to occupant, shark rammed boat catapulting it out of the water",N,7,North,Summer,2000
1985.07.25.a,25-Jul-1985,1985,USA,Florida,"New Smyrna Beach, Volusia County",Hand bitten,N,7,North,Summer,2000
1985.03.03,03-Mar-1985,1985,AUSTRALIA,South Australia,"Wisemans Beach, Peake Bay, Port Lincoln",FATAL,Y,3,South,Autumn,2000
1986.05.15,15-May-1986,1986,SOUTH KOREA,Not applicable,Not applicable,FATAL,Y,5,South,Autumn,2000
1986.08.10,10-Aug-1986,1986,SOUTH AFRICA,Western Cape Province,Reef on seaward side of Geyser Island,"No injury, shark made threat display & impaled itself on spear ",,8,South,Winter,2000
1986.08.03,03-Aug-1986,1986,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",Survived,N,8,South,Winter,2000
1986.07.26,26-Jul-1986,1986,AUSTRALIA,Western Australia,3 km west of Rottnest Island,"No injury to occupants. Shark bit motor, lifting stern a half-metre out of the water",N,7,South,Winter,2000
1986.07.09,09-Jul-1986,1986,USA,South Carolina,"Myrtle Beach, Horry County",Back of left thigh bitten,N,7,North,Summer,2000
1986.05.18,18-May-1986,1986,AUSTRALIA,New South Wales,"North Head, Sydney Harbour",Survived,N,5,South,Autumn,2000
1986.04.20,20-Apr-1986,1986,USA,Hawaii,"Kaliiwi, Kauai",Pieces of clothing & human flesh recovered by Fire Department divers who encountered a large shark,Y,4,North,Spring,2000
1986.02.01,01-Feb-1986,1986,AUSTRALIA,Victoria,Jan Juc Beach,"No injury, knocked into water & board bitten",N,2,South,Summer,2000
1986.03.15,15-Mar-1986,1986,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Foot bitten,N,3,South,Autumn,2000
1986.03.05,5-Mar-1986,1986,SOUTH AFRICA,Eastern Cape Province,"The Fence, King's Beach, Port Elizabeth","No injury, board struck by shark",N,3,South,Autumn,2000
1986.02.18,18-Feb-1986,1986,SOUTH AFRICA,Eastern Cape Province,East London,"No injury, board bitten",N,2,South,Summer,2000
1986.02.17,17-Feb-1986,1986,SOUTH AFRICA,Eastern Cape Province,Cape Recife,"No injury, knocked off board",N,2,South,Summer,2000
